title,id,release_date,vote_average,actors,director,composer,writer,producer
The Shawshank Redemption,278,1994-09-23,8.708,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",Frank Darabont,Thomas Newman,Frank Darabont,Niki Marvin
The Godfather,238,1972-03-14,8.69,"['Marlon Brando', 'Al Pacino', 'James Caan']",Francis Ford Coppola,Nino Rota,Mario Puzo,Albert S. Ruddy
The Godfather Part II,240,1974-12-20,8.571,"['Al Pacino', 'Robert Duvall', 'Diane Keaton']",Francis Ford Coppola,Nino Rota,Mario Puzo,Francis Ford Coppola
Schindler's List,424,1993-12-15,8.567,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",Steven Spielberg,John Williams,Steven Zaillian,Steven Spielberg
12 Angry Men,389,1957-04-10,8.5,"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb']",Sidney Lumet,Kenyon Hopkins,Reginald Rose,Henry Fonda
Spirited Away,129,2001-07-20,8.538,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",Hayao Miyazaki,Joe Hisaishi,,Toshio Suzuki
Dilwale Dulhania Le Jayenge,19404,1995-10-20,8.5,"['Kajol', 'Shah Rukh Khan', 'Amrish Puri']",Aditya Chopra,Jatin Pandit,Aditya Chopra,Yash Chopra
The Dark Knight,155,2008-07-16,8.518,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",Christopher Nolan,Hans Zimmer,Jonathan Nolan,Christopher Nolan
The Green Mile,497,1999-12-10,8.507,"['Tom Hanks', 'David Morse', 'Bonnie Hunt']",Frank Darabont,Thomas Newman,Frank Darabont,Frank Darabont
Parasite,496243,2019-05-30,8.504,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",Bong Joon-ho,Jung Jae-il,Han Jin-won,Jang Young-hwan
Pulp Fiction,680,1994-09-10,8.488,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",Quentin Tarantino,,,Lawrence Bender
Your Name.,372058,2016-08-26,8.5,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",Makoto Shinkai,Yojiro Noda,Makoto Shinkai,Genki Kawamura
The Lord of the Rings: The Return of the King,122,2003-12-17,8.483,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson,Howard Shore,Peter Jackson,Peter Jackson
Forrest Gump,13,1994-06-23,8.469,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",Robert Zemeckis,Alan Silvestri,Eric Roth,Steve Tisch
"The Good, the Bad and the Ugly",429,1966-12-22,8.5,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",Sergio Leone,Ennio Morricone,Luciano Vincenzoni,Alberto Grimaldi
Seven Samurai,346,1954-04-26,8.462,"['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba']",Akira Kurosawa,Fumio Hayasaka,Shinobu Hashimoto,Sōjirō Motoki
GoodFellas,769,1990-09-12,8.457,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci']",Martin Scorsese,,Nicholas Pileggi,Irwin Winkler
Grave of the Fireflies,12477,1988-04-16,8.456,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Yoshiko Shinohara']",Isao Takahata,Michio Mamiya,Isao Takahata,Tooru Hara
Cinema Paradiso,11216,1988-11-17,8.449,"['Philippe Noiret', 'Jacques Perrin', 'Marco Leonardi']",Giuseppe Tornatore,Ennio Morricone,Giuseppe Tornatore,Giovanna Romagnoli
Life Is Beautiful,637,1997-12-20,8.449,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini']",Roberto Benigni,Nicola Piovani,Vincenzo Cerami,Gianluigi Braschi
Interstellar,157336,2014-11-05,8.446,"['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine']",Christopher Nolan,Hans Zimmer,,Lynda Obst
Flow,823219,2024-08-29,8.449,[],Gints Zilbalodis,Gints Zilbalodis,Matīss Kaža,Matīss Kaža
Fight Club,550,1999-10-15,8.438,"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter']",David Fincher,John King,Jim Uhls,Ross Grayson Bell
Impossible Things,667257,2021-06-17,8.4,"['Nora Velázquez', 'Benny Emmanuel', 'Luisa Huertas']",Ernesto Contreras,,Estéfani Enríquez Soto,Luis Albores
Psycho,539,1960-06-22,8.427,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",Alfred Hitchcock,Bernard Herrmann,Joseph Stefano,Alfred Hitchcock
A Dog's Will,40096,2000-09-15,8.4,"['Matheus Nachtergaele', 'Selton Mello', 'Rogério Cardoso']",Guel Arraes,Sérgio Campelo,,Guel Arraes
City of God,598,2002-08-30,8.425,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen']",Fernando Meirelles,Ed Cortês,Bráulio Mantovani,Hank Levine
Once Upon a Time in America,311,1984-05-23,8.42,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern']",Sergio Leone,Ennio Morricone,Sergio Leone,Arnon Milchan
The Lord of the Rings: The Fellowship of the Ring,120,2001-12-18,8.4,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson,Howard Shore,Philippa Boyens,Peter Jackson
One Flew Over the Cuckoo's Nest,510,1975-11-19,8.414,"['Jack Nicholson', 'Brad Dourif', 'Louise Fletcher']",Miloš Forman,Jack Nitzsche,Lawrence Hauben,Saul Zaentz
Gabriel's Inferno,696374,2020-05-29,8.4,"['Melanie Zanetti', 'Giulio Berruti', 'Kurt McKinney']",Tosca Musk,,Mary Pocrnic,Lino Ruggiero
Harakiri,14537,1962-09-15,8.408,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita']",Masaki Kobayashi,Toru Takemitsu,Shinobu Hashimoto,Tatsuo Hosoya
Howl's Moving Castle,4935,2004-09-09,8.402,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa']",Hayao Miyazaki,Joe Hisaishi,Hayao Miyazaki,Tomohiko Ishii
Spider-Man: Into the Spider-Verse,324857,2018-12-06,8.399,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']",Bob Persichetti,Daniel Pemberton,Phil Lord,Phil Lord
The Lord of the Rings: The Two Towers,121,2002-12-18,8.399,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson,Howard Shore,Philippa Boyens,Peter Jackson
Primal: Tales of Savagery,704264,2019-11-21,8.398,"['Aaron LaPlante', 'Jon Olson', 'Bryan Andrews']",Genndy Tartakovsky,Tyler Bates,,
The Empire Strikes Back,1891,1980-05-20,8.4,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",Irvin Kershner,John Williams,Lawrence Kasdan,Gary Kurtz
Gabriel's Inferno: Part II,724089,2020-07-31,8.387,"['Melanie Zanetti', 'Giulio Berruti', 'James Andrew Fraser']",Tosca Musk,,Mary Pocrnic,Michael Buttiglieri
Hope,255709,2013-10-02,8.383,"['Sul Kyung-gu', 'Uhm Ji-won', 'Lee Re']",Lee Joon-ik,Bang Jun-seok,,Byun Bong-hyun
Gabriel's Inferno: Part III,761053,2020-11-19,8.4,"['Melanie Zanetti', 'Giulio Berruti', 'Rhett Wellington Ramirez']",Tosca Musk,,Mary Pocrnic,Lino Ruggiero
A Silent Voice: The Movie,378064,2016-09-17,8.382,"['Miyu Irino', 'Saori Hayami', 'Aoi Yuki']",Naoko Yamada,Kensuke Ushio,Reiko Yoshida,Mikio Uetsuki
Dou kyu sei – Classmates,372754,2016-02-20,8.4,"['Kenji Nojima', 'Hiroshi Kamiya', 'Hideo Ishikawa']",Shoko Nakamura,Kotaro Oshio,,Shizuka Kurosaki
Whiplash,244786,2014-10-10,8.379,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser']",Damien Chazelle,Justin Hurwitz,,David Lancaster
The Pianist,423,2002-09-17,8.379,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",Roman Polanski,Wojciech Kilar,Ronald Harwood,Alain Sarde
The Wild Robot,1184918,2024-09-12,8.4,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor']",Chris Sanders,Kris Bowers,Chris Sanders,Jeff Hermann
Se7en,807,1995-09-22,8.4,"['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow']",David Fincher,Howard Shore,,Arnold Kopelson
Radical,1058694,2023-10-19,8.4,"['Eugenio Derbez', 'Daniel Haddad', 'Jennifer Trejo']",Christopher Zalla,Pascual Reyes,Christopher Zalla,Joshua Davis
The Legend of Hei,620249,2019-08-27,8.4,"['Shan Xin', 'Liu Mingyue', 'Hao Xianghai']",MTJJ,,,Cong Fangbing
Inception,27205,2010-07-15,8.37,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe']",Christopher Nolan,Hans Zimmer,,Christopher Nolan
