title,id,release_date,vote_average
The Shawshank Redemption,278,1994-09-23,8.708
The Godfather,238,1972-03-14,8.69
The Godfather Part II,240,1974-12-20,8.571
Schindler's List,424,1993-12-15,8.567
12 Angry Men,389,1957-04-10,8.5
Spirited Away,129,2001-07-20,8.538
Dilwale Dulhania Le Jayenge,19404,1995-10-20,8.5
The Dark Knight,155,2008-07-16,8.518
The Green Mile,497,1999-12-10,8.507
Parasite,496243,2019-05-30,8.504
Pulp Fiction,680,1994-09-10,8.488
Your Name.,372058,2016-08-26,8.5
The Lord of the Rings: The Return of the King,122,2003-12-17,8.483
Forrest Gump,13,1994-06-23,8.469
"The Good, the Bad and the Ugly",429,1966-12-22,8.5
Seven Samurai,346,1954-04-26,8.462
GoodFellas,769,1990-09-12,8.457
Grave of the Fireflies,12477,1988-04-16,8.456
Cinema Paradiso,11216,1988-11-17,8.449
Life Is Beautiful,637,1997-12-20,8.449
Interstellar,157336,2014-11-05,8.446
Flow,823219,2024-08-29,8.449
Fight Club,550,1999-10-15,8.438
Impossible Things,667257,2021-06-17,8.4
Psycho,539,1960-06-22,8.427
A Dog's Will,40096,2000-09-15,8.4
City of God,598,2002-08-30,8.425
Once Upon a Time in America,311,1984-05-23,8.42
The Lord of the Rings: The Fellowship of the Ring,120,2001-12-18,8.4
One Flew Over the Cuckoo's Nest,510,1975-11-19,8.414
Gabriel's Inferno,696374,2020-05-29,8.4
Harakiri,14537,1962-09-15,8.408
Howl's Moving Castle,4935,2004-09-09,8.402
Spider-Man: Into the Spider-Verse,324857,2018-12-06,8.399
The Lord of the Rings: The Two Towers,121,2002-12-18,8.399
Primal: Tales of Savagery,704264,2019-11-21,8.398
The Empire Strikes Back,1891,1980-05-20,8.4
Gabriel's Inferno: Part II,724089,2020-07-31,8.387
Hope,255709,2013-10-02,8.383
Gabriel's Inferno: Part III,761053,2020-11-19,8.4
A Silent Voice: The Movie,378064,2016-09-17,8.382
Dou kyu sei – Classmates,372754,2016-02-20,8.4
Whiplash,244786,2014-10-10,8.379
The Pianist,423,2002-09-17,8.379
The Wild Robot,1184918,2024-09-12,8.4
Se7en,807,1995-09-22,8.4
Radical,1058694,2023-10-19,8.4
The Legend of Hei,620249,2019-08-27,8.4
Inception,27205,2010-07-15,8.37
Spider-Man: Across the Spider-Verse,569094,2023-05-31,8.354
Rear Window,567,1954-08-01,8.35
The Silence of the Lambs,274,1991-02-14,8.347
The Quintessential Quintuplets Movie,820067,2022-05-20,8.343
American History X,73,1998-07-01,8.341
Princess Mononoke,128,1997-07-12,8.334
High and Low,12493,1963-03-01,8.3
A Brighter Summer Day,15804,1991-07-27,8.3
Once Upon a Studio,1139087,2023-09-24,8.3
Back to the Future,105,1985-07-03,8.318
Dedicated to my ex,644479,2019-11-01,8.3
Perfect Blue,10494,1998-02-28,8.308
Dead Poets Society,207,1989-06-02,8.3
Ikiru,3782,1952-10-09,8.306
